date,month,tracked_voices,asr_received,action_only,committed,speech_overwrite,discarded,filtered,mark_error,unknown,test_pattern,cross_app,audio_hours,mean_text_len
20260120,202601,522,522,0,0,0,0,0,67,455,29,0,0.0,16.26
20260121,202601,805,805,0,68,0,151,41,55,490,45,0,0.971,18.93
20260122,202601,762,762,0,280,0,76,65,71,270,12,0,1.243,13.41
20260123,202601,580,580,0,144,0,37,49,8,342,7,0,1.173,6.01
20260124,202601,71,71,0,8,0,8,1,1,53,16,0,0.082,4.93
20260125,202601,59,59,0,5,0,12,6,0,36,4,0,0.056,5.22
20260126,202601,236,236,0,7,0,0,12,0,217,41,0,0.267,10.73
20260127,202601,1355,1355,0,257,0,470,85,0,543,42,0,3.079,34.88
20260128,202601,999,999,0,215,0,171,43,0,570,28,0,2.307,33.05
20260129,202601,637,637,0,13,0,131,37,0,456,9,0,2.066,47.09
20260130,202601,861,861,0,18,0,94,18,0,731,10,0,2.894,45.65
20260131,202601,717,717,0,92,0,107,65,0,453,45,0,2.047,37.83
20260201,202602,1026,1026,0,198,0,0,89,0,739,70,0,2.002,25.05
20260202,202602,129,129,0,34,0,0,8,0,87,5,0,0.309,21.36
20260203,202602,128,128,0,29,0,0,6,0,93,7,0,0.282,28.45
20260207,202602,213,213,0,133,0,0,11,0,69,4,0,0.281,12.51
20260208,202602,733,733,0,7,0,0,30,0,696,5,0,1.725,26.19
20260209,202602,96,96,0,33,0,0,15,0,48,0,0,0.165,18.57
20260210,202602,473,473,0,318,0,0,23,0,132,3,0,0.613,14.01
20260212,202602,279,279,0,105,0,0,16,0,158,37,0,0.788,38.28
20260213,202602,118,118,0,68,0,0,8,0,42,1,0,0.165,14.9
20260214,202602,117,117,0,34,0,0,16,0,67,4,0,0.135,17.33
20260224,202602,111,111,0,0,0,0,4,0,107,4,0,0.222,23.14
20260225,202602,589,589,0,59,0,0,22,0,508,7,0,1.563,40.2
20260226,202602,30,30,0,17,0,0,0,0,13,0,0,0.097,29.7
20260304,202603,292,292,0,50,0,0,19,0,223,5,0,0.531,29.76
20260305,202603,14,14,0,10,0,0,0,0,4,0,0,0.02,17.36
20260311,202603,83,83,0,52,10,20,0,0,1,5,0,0.077,11.48
20260312,202603,1260,1260,0,526,338,265,9,2,120,103,0,1.101,12.4
20260313,202603,892,892,0,0,0,0,0,0,892,96,0,1.139,18.92
20260314,202603,18,18,0,0,0,0,0,0,18,3,0,0.02,16.56
20260315,202603,504,504,0,0,0,0,0,0,504,6,0,0.405,11.21
20260316,202603,599,599,0,0,0,0,0,0,599,81,0,0.482,12.27
20260317,202603,1068,1067,1,181,0,56,0,3,828,78,0,0.894,12.32
20260318,202603,550,549,1,106,150,217,0,0,77,15,0,0.687,22.15
20260319,202603,872,872,0,484,124,223,0,0,41,50,0,0.818,14.41
20260320,202603,2527,2527,0,987,421,809,0,98,212,139,11,2.688,16.89
20260321,202603,1203,1203,0,522,113,177,0,119,272,29,3,0.979,10.92
20260322,202603,1983,1983,0,1015,283,329,0,75,281,142,11,1.675,13.4
20260323,202603,2341,2341,0,1262,305,263,0,35,476,59,3,1.99,12.35
20260324,202603,1910,1910,0,1080,173,235,0,28,394,55,3,1.693,12.36
20260328,202603,931,931,0,480,199,249,0,0,3,28,3,0.691,13.94
20260329,202603,1529,1432,97,925,207,266,97,0,34,90,3,1.054,10.98
20260330,202603,1696,1559,137,1332,36,187,137,0,4,16,0,1.313,12.74
20260331,202603,1502,1411,91,1117,66,223,91,0,5,31,6,1.143,12.26
20260401,202604,2015,1865,150,1474,93,296,150,0,2,18,4,1.57,12.97
20260402,202604,983,892,91,653,91,148,91,0,0,1,3,0.701,12.5
20260403,202604,921,860,61,723,26,106,61,0,5,13,0,0.766,13.67
20260404,202604,149,149,0,101,13,33,0,1,1,14,0,0.121,11.58
20260405,202604,619,593,26,444,57,90,26,0,2,35,1,0.563,13.56
20260406,202604,1431,1329,102,1120,85,120,102,2,2,51,0,1.323,14.6
20260407,202604,627,413,214,265,42,106,214,0,0,9,0,0.431,15.21
20260408,202604,1824,1581,243,1007,168,401,243,1,4,16,0,2.027,21.06
