date,asr_count,filtered_count,filter_pct,has_gap,reasons
20260120,522,0,0.0,1,
20260121,805,41,5.1,0,no_reason:41
20260122,762,65,8.5,0,no_reason:65
20260123,580,49,8.4,0,no_reason:49
20260124,71,1,1.4,0,no_reason:1
20260125,59,6,10.2,0,no_reason:6
20260126,236,12,5.1,0,no_reason:12
20260127,1355,85,6.3,0,no_reason:85
20260128,999,43,4.3,0,no_reason:43
20260129,637,37,5.8,0,no_reason:37
20260130,861,18,2.1,0,no_reason:18
20260131,717,65,9.1,0,no_reason:65
20260201,1026,89,8.7,0,no_reason:89
20260202,129,8,6.2,0,no_reason:8
20260203,128,6,4.7,0,no_reason:6
20260207,213,11,5.2,0,no_reason:11
20260208,733,30,4.1,0,no_reason:30
20260209,96,15,15.6,0,no_reason:15
20260210,473,23,4.9,0,no_reason:23
20260212,279,16,5.7,0,no_reason:16
20260213,118,8,6.8,0,no_reason:8
20260214,117,16,13.7,0,no_reason:16
20260224,111,4,3.6,0,no_reason:4
20260225,589,22,3.7,0,no_reason:22
20260226,30,0,0.0,1,
20260304,292,19,6.5,0,no_reason:19
20260305,14,0,0.0,1,
20260311,83,0,0.0,1,
20260312,1266,9,0.7,0,no_reason:9
20260313,900,0,0.0,1,
20260314,18,0,0.0,1,
20260315,504,0,0.0,1,
20260316,604,0,0.0,1,
20260317,1080,0,0.0,1,
20260318,549,0,0.0,1,
20260319,872,0,0.0,1,
20260320,2527,0,0.0,1,
20260321,1203,0,0.0,1,
20260322,1983,0,0.0,1,
20260323,2341,0,0.0,1,
20260324,1910,0,0.0,1,
20260328,931,0,0.0,1,
20260329,1432,97,6.8,0,blocklist_word:45; pure_punctuation:43; too_short:9
20260330,1559,137,8.8,0,pure_punctuation:69; blocklist_word:51; too_short:17
20260331,1411,91,6.4,0,pure_punctuation:44; blocklist_word:33; too_short:14
20260401,1865,150,8.0,0,pure_punctuation:88; blocklist_word:46; too_short:16
20260402,892,91,10.2,0,pure_punctuation:47; blocklist_word:38; too_short:6
20260403,860,61,7.1,0,pure_punctuation:33; blocklist_word:21; too_short:7
